Variable;Study;Treatment;Mean;Std Dev;Unit;Original Unit;Notes
C/N;Srivastava et al. (2020);T4 (Initial);49.61;0.30;-;-;-
C/N;Srivastava et al. (2020);T4 (Final);24.35;0.17;-;-;-
C/N;Santana et al. (2020);Fresh Grape Marc;24.02;0.72;-;-;-
C/N;Santana et al. (2020);15 days;12.07;0.93;-;-;-
C/N;Santana et al. (2020);30 days;11.56;0.35;-;-;-
C/N;Santana et al. (2020);180 days;11.59;1.30;-;-;-
C/N;Santana et al. (2020);360 days;11.80;1.30;-;-;-
C/N;Santana et al. (2020);540 days;11.61;0.81;-;-;-
C/N;Santana et al. (2020);720 days;11.65;0.83;-;-;-
This is a placeholder. Replace with your actual data.
